fid,class1,class2,subclass2,class3,croptyp2,partition
174,**,D,13,**,D13,73
175,**,D,13,**,D13,17
176,**,D,13,**,D13,5
177,**,D,13,**,D13,56
178,**,D,13,**,D13,96
179,**,D,13,**,D13,19
180,**,D,13,**,D13,39
181,**,D,13,**,D13,85
182,**,D,13,**,D13,42
183,**,D,13,**,D13,40
184,**,D,13,**,D13,72
185,**,D,13,**,D13,83
186,**,D,13,**,D13,86
187,**,D,13,**,D13,65
188,**,D,13,**,D13,39
189,**,D,13,**,D13,55
190,**,D,13,**,D13,58
191,**,D,13,**,D13,70
192,**,D,13,**,D13,65
193,**,D,13,**,D13,53
194,**,D,13,**,D13,52
195,**,D,13,**,D13,4
196,**,D,13,**,D13,51
197,**,D,13,**,D13,91
198,**,D,13,**,D13,54
199,**,D,13,**,D13,83
200,**,D,13,**,D13,22
201,**,D,13,**,D13,70
202,**,D,13,**,D13,30
203,**,D,13,**,D13,83
204,**,D,13,**,D13,13
205,**,D,13,**,D13,53
206,**,D,13,**,D13,67
207,**,D,13,**,D13,74
208,**,D,13,**,D13,33
209,**,D,13,**,D13,31
210,**,D,13,**,D13,60
211,**,D,13,**,D13,16
212,**,D,13,**,D13,60
213,**,D,13,**,D13,69
214,**,D,13,**,D13,89
215,**,D,13,**,D13,44
216,**,D,13,**,D13,88
217,**,D,13,**,D13,6
218,**,D,13,**,D13,10
219,**,D,13,**,D13,19
220,**,D,13,**,D13,89
221,**,D,13,**,D13,38
222,**,D,13,**,D13,6
223,**,D,13,**,D13,12
224,**,D,13,**,D13,7
225,**,D,13,**,D13,34
226,**,D,13,**,D13,96
227,**,D,13,**,D13,18
228,**,D,13,**,D13,54
229,**,D,13,**,D13,99
230,**,D,13,**,D13,91
231,**,D,13,**,D13,6
232,**,D,13,**,D13,44
233,**,D,13,**,D13,56
234,**,D,13,**,D13,11
235,**,D,13,**,D13,48
236,**,D,13,**,D13,27
237,**,D,13,**,D13,5
238,**,D,13,**,D13,16
239,**,D,13,**,D13,62
240,**,D,13,**,D13,31
241,**,D,13,**,D13,80
242,**,D,13,**,D13,32
243,**,D,13,**,D13,6
244,**,D,13,**,D13,98
245,**,D,13,**,D13,64
246,**,D,13,**,D13,4
247,**,D,13,**,D13,11
248,**,D,13,**,D13,30
249,**,D,13,**,D13,71
250,**,D,13,**,D13,29
251,**,D,13,**,D13,64
252,**,D,13,**,D13,74
253,**,D,13,**,D13,43
254,**,D,13,**,D13,95
255,**,D,13,**,D13,40
256,**,D,13,**,D13,15
257,**,D,13,**,D13,19
258,**,D,13,**,D13,31
259,**,D,13,**,D13,54
260,**,D,13,**,D13,45
261,**,D,13,**,D13,26
262,**,D,13,**,D13,42
263,**,D,13,**,D13,93
264,**,D,13,**,D13,3
265,**,D,13,**,D13,53
266,**,D,13,**,D13,22
267,**,D,13,**,D13,25
268,**,D,13,**,D13,15
269,**,D,13,**,D13,73
270,**,D,13,**,D13,79
271,**,D,13,**,D13,55
272,**,D,13,**,D13,3
273,**,D,13,**,D13,43
274,**,D,13,**,D13,27
275,**,D,13,**,D13,40
276,**,D,13,**,D13,9
277,**,D,13,**,D13,85
278,**,D,13,**,D13,100
279,**,D,13,**,D13,20
280,**,D,13,**,D13,47
281,**,D,13,**,D13,85
282,**,D,13,**,D13,44
283,**,D,13,**,D13,10
284,**,D,13,**,D13,9
285,**,D,13,**,D13,96
286,**,D,13,**,D13,13
287,**,D,13,**,D13,67
288,**,D,13,**,D13,60
289,**,D,13,**,D13,75
290,**,D,13,**,D13,90
291,**,D,13,**,D13,76
292,**,D,13,**,D13,68
293,**,D,13,**,D13,30
294,**,D,13,**,D13,32
295,**,D,13,**,D13,75
296,**,D,13,**,D13,55
297,**,D,13,**,D13,54
298,**,D,13,**,D13,13
299,**,D,13,**,D13,4
300,**,D,13,**,D13,41
301,**,D,13,**,D13,80
302,**,D,13,**,D13,90
303,**,D,13,**,D13,53
304,**,D,13,**,D13,68
305,**,D,13,**,D13,20
306,**,D,13,**,D13,64
307,**,D,13,**,D13,46
308,**,D,13,**,D13,83
309,**,D,13,**,D13,70
310,**,D,13,**,D13,51
311,**,D,13,**,D13,11
312,**,D,13,**,D13,75
313,**,D,13,**,D13,85
314,**,D,13,**,D13,94
315,**,D,13,**,D13,80
316,**,D,13,**,D13,44
317,**,D,13,**,D13,67
318,**,D,13,**,D13,40
319,**,D,13,**,D13,20
320,**,D,13,**,D13,69
321,**,D,13,**,D13,52
322,**,D,13,**,D13,56
323,**,D,13,**,D13,79
324,**,D,13,**,D13,38
325,**,D,13,**,D13,6
326,**,D,13,**,D13,9
327,**,D,13,**,D13,82
328,**,D,13,**,D13,44
329,**,D,13,**,D13,82
330,**,D,13,**,D13,81
331,**,D,13,**,D13,40
332,**,D,13,**,D13,97
333,**,D,13,**,D13,16
334,**,D,13,**,D13,23
335,**,D,13,**,D13,24
336,**,D,13,**,D13,37
337,**,D,13,**,D13,55
338,**,D,13,**,D13,89
339,**,D,13,**,D13,43
340,**,D,13,**,D13,12
341,**,D,13,**,D13,88
342,**,D,13,**,D13,30
343,**,D,13,**,D13,39
344,**,D,13,**,D13,99
345,**,D,13,**,D13,52
346,**,D,13,**,D13,14
347,**,D,13,**,D13,91
348,**,D,13,**,D13,30
349,**,D,13,**,D13,84
350,**,D,13,**,D13,72
351,**,D,13,**,D13,77
352,**,D,13,**,D13,72
353,**,D,13,**,D13,13
354,**,D,13,**,D13,23
355,**,D,13,**,D13,48
356,**,D,13,**,D13,8
357,**,D,13,**,D13,19
358,**,D,13,**,D13,88
359,**,D,13,**,D13,54
360,**,D,13,**,D13,28
361,**,D,13,**,D13,75
362,**,D,13,**,D13,8
363,**,D,13,**,D13,98
364,**,D,13,**,D13,53
365,**,D,13,**,D13,4
366,**,D,13,**,D13,96
367,**,D,13,**,D13,88
368,**,D,13,**,D13,94
369,**,D,13,**,D13,51
370,**,D,13,**,D13,80
371,**,D,13,**,D13,12
372,**,D,13,**,D13,19
373,**,D,13,**,D13,51
374,**,D,13,**,D13,88
375,**,D,13,**,D13,2
376,**,D,13,**,D13,71
377,**,D,13,**,D13,87
378,**,D,13,**,D13,31
379,**,D,13,**,D13,6
380,**,D,13,**,D13,91
381,**,D,13,**,D13,45
382,**,D,13,**,D13,31
383,**,D,13,**,D13,36
384,**,D,13,**,D13,60
385,**,D,13,**,D13,1
386,**,D,13,**,D13,35
387,**,D,13,**,D13,5
388,**,D,13,**,D13,41
389,**,D,13,**,D13,62
390,**,D,13,**,D13,68
391,**,D,13,**,D13,40
392,**,D,13,**,D13,33
393,**,D,13,**,D13,13
394,**,D,13,**,D13,81
395,**,D,13,**,D13,52
396,**,D,13,**,D13,24
397,**,D,13,**,D13,72
398,**,D,13,**,D13,8
399,**,D,13,**,D13,22
400,**,D,13,**,D13,23
401,**,D,13,**,D13,96
402,**,D,13,**,D13,17
403,**,D,13,**,D13,59
404,**,D,13,**,D13,17
405,**,D,13,**,D13,57
406,**,D,13,**,D13,5
407,**,D,13,**,D13,4
408,**,D,13,**,D13,79
409,**,D,13,**,D13,80
410,**,D,13,**,D13,93
411,**,D,13,**,D13,93
412,**,D,13,**,D13,93
413,**,D,13,**,D13,87
414,**,D,13,**,D13,80
415,**,D,13,**,D13,36
416,**,D,13,**,D13,52
417,**,D,13,**,D13,39
418,**,D,13,**,D13,6
419,**,D,13,**,D13,97
420,**,D,13,**,D13,75
421,**,D,13,**,D13,93
422,**,D,13,**,D13,53
423,**,D,13,**,D13,96
424,**,D,13,**,D13,2
425,**,D,13,**,D13,27
426,**,D,13,**,D13,38
427,**,D,13,**,D13,48
428,**,D,13,**,D13,9
429,**,D,13,**,D13,2
430,**,D,13,**,D13,78
431,**,D,13,**,D13,14
432,**,D,13,**,D13,32
433,**,D,13,**,D13,77
434,**,D,13,**,D13,44
435,**,D,13,**,D13,43
436,**,D,13,**,D13,45
437,**,D,13,**,D13,13
438,**,D,13,**,D13,2
439,**,D,13,**,D13,97
440,**,D,13,**,D13,70
441,**,D,13,**,D13,70
442,**,D,13,**,D13,48
443,**,D,13,**,D13,15
444,**,D,13,**,D13,6
445,**,D,13,**,D13,98
446,**,D,13,**,D13,39
447,**,D,13,**,D13,6
448,**,D,13,**,D13,93
449,**,D,13,**,D13,46
450,**,D,13,**,D13,62
451,**,D,13,**,D13,91
452,**,D,13,**,D13,66
453,**,D,13,**,D13,35
454,**,D,13,**,D13,87
455,**,D,13,**,D13,18
456,**,D,13,**,D13,93
457,**,D,13,**,D13,43
458,**,D,13,**,D13,77
459,**,D,13,**,D13,34
460,**,D,13,**,D13,65
461,**,D,13,**,D13,29
462,**,D,13,**,D13,79
463,**,D,13,**,D13,11
464,**,D,13,**,D13,2
465,**,D,13,**,D13,100
466,**,D,13,**,D13,2
467,**,D,13,**,D13,8
468,**,D,13,**,D13,82
469,**,D,13,**,D13,79
470,**,D,13,**,D13,29
471,**,D,13,**,D13,61
472,**,D,13,**,D13,15
473,**,D,13,**,D13,20
474,**,D,13,**,D13,80
475,**,D,13,**,D13,81
476,**,D,13,**,D13,32
477,**,D,13,**,D13,75
478,**,D,13,**,D13,16
479,**,D,13,**,D13,8
480,**,D,13,**,D13,58
481,**,D,13,**,D13,31
482,**,D,13,**,D13,59
483,**,D,13,**,D13,35
484,**,D,13,**,D13,84
485,**,D,13,**,D13,24
486,**,D,13,**,D13,11
487,**,D,13,**,D13,12
488,**,D,13,**,D13,79
489,**,D,13,**,D13,55
490,**,D,13,**,D13,44
491,**,D,13,**,D13,93
492,**,D,13,**,D13,47
493,**,D,13,**,D13,15
494,**,D,13,**,D13,97
495,**,D,13,**,D13,40
496,**,D,13,**,D13,20
497,**,D,13,**,D13,99
498,**,D,13,**,D13,1
499,**,D,13,**,D13,49
500,**,D,13,**,D13,54
501,**,D,13,**,D13,33
502,**,D,13,**,D13,38
503,**,D,13,**,D13,92
504,**,D,13,**,D13,57
505,**,D,13,**,D13,54
506,**,D,13,**,D13,84
507,**,D,13,**,D13,47
508,**,D,13,**,D13,63
509,**,D,13,**,D13,20
510,**,D,13,**,D13,60
511,**,D,13,**,D13,62
512,**,D,13,**,D13,85
513,**,D,13,**,D13,38
514,**,D,13,**,D13,79
515,**,D,13,**,D13,24
516,**,D,13,**,D13,99
517,**,D,13,**,D13,72
518,**,D,13,**,D13,34
519,**,D,13,**,D13,66
520,**,D,13,**,D13,32
521,**,D,13,**,D13,49
522,**,D,13,**,D13,84
523,**,D,13,**,D13,46
524,**,D,13,**,D13,76
525,**,D,13,**,D13,68
526,**,D,13,**,D13,52
527,**,D,13,**,D13,19
528,**,D,13,**,D13,87
529,**,D,13,**,D13,92
530,**,D,13,**,D13,52
531,**,D,13,**,D13,9
532,**,D,13,**,D13,42
533,**,D,13,**,D13,6
534,**,D,13,**,D13,69
535,**,D,13,**,D13,21
536,**,D,13,**,D13,32
537,**,D,13,**,D13,81
538,**,D,13,**,D13,16
539,**,D,13,**,D13,49
540,**,D,13,**,D13,55
541,**,D,13,**,D13,55
542,**,D,13,**,D13,20
543,**,D,13,**,D13,17
544,**,D,13,**,D13,12
545,**,D,13,**,D13,34
546,**,D,13,**,D13,14
547,**,D,13,**,D13,50
548,**,D,13,**,D13,73
549,**,D,13,**,D13,37
550,**,D,13,**,D13,78
551,**,D,13,**,D13,18
552,**,D,13,**,D13,54
553,**,D,13,**,D13,61
554,**,D,13,**,D13,95
555,**,D,13,**,D13,11
556,**,D,13,**,D13,37
557,**,D,13,**,D13,74
558,**,D,13,**,D13,24
559,**,D,13,**,D13,89
560,**,D,13,**,D13,24
561,**,D,13,**,D13,93
562,**,D,13,**,D13,53
563,**,D,13,**,D13,11
564,**,D,13,**,D13,72
565,**,D,13,**,D13,18
566,**,D,13,**,D13,99
567,**,D,13,**,D13,53
568,**,D,13,**,D13,85
569,**,D,13,**,D13,53
570,**,D,13,**,D13,43
571,**,D,13,**,D13,2
572,**,D,13,**,D13,98
573,**,D,13,**,D13,37
574,**,D,13,**,D13,4
575,**,D,13,**,D13,35
576,**,D,13,**,D13,14
577,**,D,13,**,D13,4
578,**,D,13,**,D13,49
579,**,D,13,**,D13,55
580,**,D,13,**,D13,15
581,**,D,13,**,D13,53
582,**,D,13,**,D13,44
583,**,D,13,**,D13,61
584,**,D,13,**,D13,85
585,**,D,13,**,D13,63
586,**,D,13,**,D13,9
587,**,D,13,**,D13,41
588,**,D,13,**,D13,88
589,**,D,13,**,D13,22
590,**,D,13,**,D13,79
591,**,D,13,**,D13,93
592,**,D,13,**,D13,33
593,**,D,13,**,D13,99
594,**,D,13,**,D13,42
595,**,D,13,**,D13,60
596,**,D,13,**,D13,86
597,**,D,13,**,D13,78
598,**,D,13,**,D13,48
599,**,D,13,**,D13,10
600,**,D,13,**,D13,29
601,**,D,13,**,D13,39
602,**,D,13,**,D13,74
603,**,D,13,**,D13,10
604,**,D,13,**,D13,9
605,**,D,13,**,D13,52
606,**,D,13,**,D13,81
607,**,D,13,**,D13,34
608,**,D,13,**,D13,35
609,**,D,13,**,D13,65
610,**,D,13,**,D13,19
611,**,D,13,**,D13,93
612,**,D,13,**,D13,66
613,**,D,13,**,D13,27
614,**,D,13,**,D13,97
615,**,D,13,**,D13,91
616,**,D,13,**,D13,100
617,**,D,13,**,D13,70
618,**,D,13,**,D13,56
619,**,D,13,**,D13,6
620,**,D,13,**,D13,29
621,**,D,13,**,D13,90
622,**,D,13,**,D13,47
623,**,D,13,**,D13,87
624,**,D,13,**,D13,98
625,**,D,13,**,D13,10
626,**,D,13,**,D13,10
627,**,D,13,**,D13,69
628,**,D,13,**,D13,86
629,**,D,13,**,D13,72
630,**,D,13,**,D13,88
631,**,D,13,**,D13,19
632,**,D,13,**,D13,88
633,**,D,13,**,D13,23
634,**,D,13,**,D13,33
635,**,D,13,**,D13,55
636,**,D,13,**,D13,90
637,**,D,13,**,D13,12
638,**,D,13,**,D13,8
639,**,D,13,**,D13,68
640,**,D,13,**,D13,82
641,**,D,13,**,D13,33
642,**,D,13,**,D13,42
643,**,D,13,**,D13,8
644,**,D,13,**,D13,21
645,**,D,13,**,D13,42
646,**,D,13,**,D13,19
647,**,D,13,**,D13,74
648,**,D,13,**,D13,75
649,**,D,13,**,D13,100
650,**,D,13,**,D13,61
651,**,D,13,**,D13,33
652,**,D,13,**,D13,86
653,**,D,13,**,D13,45
654,**,D,13,**,D13,49
655,**,D,13,**,D13,15
656,**,D,13,**,D13,18
657,**,D,13,**,D13,96
658,**,D,13,**,D13,86
659,**,D,13,**,D13,77
660,**,D,13,**,D13,99
661,**,D,13,**,D13,12
662,**,D,13,**,D13,66
663,**,D,13,**,D13,2
664,**,D,13,**,D13,83
665,**,D,13,**,D13,31
666,**,D,13,**,D13,21
667,**,D,13,**,D13,33
668,**,D,13,**,D13,43
669,**,D,13,**,D13,16
670,**,D,13,**,D13,87
671,**,D,13,**,D13,20
672,**,D,13,**,D13,76
673,**,D,13,**,D13,77
674,**,D,13,**,D13,27
675,**,D,13,**,D13,100
676,**,D,13,**,D13,84
677,**,D,13,**,D13,78
678,**,D,13,**,D13,57
679,**,D,13,**,D13,10
680,**,D,13,**,D13,88
681,**,D,13,**,D13,34
682,**,D,13,**,D13,56
683,**,D,13,**,D13,93
684,**,D,13,**,D13,54
685,**,D,13,**,D13,83
686,**,D,13,**,D13,24
687,**,D,13,**,D13,36
688,**,D,13,**,D13,35
689,**,D,13,**,D13,70
690,**,D,13,**,D13,38
691,**,D,13,**,D13,35
692,**,D,13,**,D13,67
693,**,D,13,**,D13,28
694,**,D,13,**,D13,49
695,**,D,13,**,D13,37
696,**,D,13,**,D13,76
697,**,D,13,**,D13,5
698,**,D,13,**,D13,33
699,**,D,13,**,D13,31
700,**,D,13,**,D13,92
701,**,D,13,**,D13,48
702,**,D,13,**,D13,18
703,**,D,13,**,D13,33
704,**,D,13,**,D13,8
705,**,D,13,**,D13,54
706,**,D,13,**,D13,44
707,**,D,13,**,D13,11
708,**,D,13,**,D13,87
709,**,D,13,**,D13,47
710,**,D,13,**,D13,73
711,**,D,13,**,D13,96
712,**,D,13,**,D13,96
713,**,D,13,**,D13,18
714,**,D,13,**,D13,12
715,**,D,13,**,D13,90
716,**,D,13,**,D13,24
717,**,D,13,**,D13,93
718,**,D,13,**,D13,42
719,**,D,13,**,D13,51
720,**,D,13,**,D13,94
721,**,D,13,**,D13,68
722,**,D,13,**,D13,56
723,**,D,13,**,D13,79
724,**,D,13,**,D13,64
725,**,D,13,**,D13,29
726,**,D,13,**,D13,6
727,**,D,13,**,D13,91
728,**,D,13,**,D13,89
729,**,D,13,**,D13,82
730,**,D,13,**,D13,46
731,**,D,13,**,D13,86
732,**,D,13,**,D13,85
733,**,D,13,**,D13,95
734,**,D,13,**,D13,6
735,**,D,13,**,D13,3
736,**,D,13,**,D13,93
737,**,D,13,**,D13,81
738,**,D,13,**,D13,96
739,**,D,13,**,D13,69
740,**,D,13,**,D13,65
741,**,D,13,**,D13,2
742,**,D,13,**,D13,85
743,**,D,13,**,D13,32
744,**,D,13,**,D13,84
745,**,D,13,**,D13,44
746,**,D,13,**,D13,21
747,**,D,13,**,D13,66
748,**,D,13,**,D13,95
749,**,D,13,**,D13,23
750,**,D,13,**,D13,20
751,**,D,13,**,D13,42
752,**,D,13,**,D13,83
753,**,D,13,**,D13,13
754,**,D,13,**,D13,58
755,**,D,13,**,D13,68
756,**,D,13,**,D13,41
757,**,D,13,**,D13,61
758,**,D,13,**,D13,5
759,**,D,13,**,D13,9
760,**,D,13,**,D13,78
761,**,D,13,**,D13,70
762,**,D,13,**,D13,37
763,**,D,13,**,D13,12
764,**,D,13,**,D13,94
765,**,D,13,**,D13,40
766,**,D,13,**,D13,89
767,**,D,13,**,D13,87
768,**,D,13,**,D13,13
769,**,D,13,**,D13,3
770,**,D,13,**,D13,34
771,**,D,13,**,D13,21
772,**,D,13,**,D13,80
773,**,D,13,**,D13,23
774,**,D,13,**,D13,14
775,**,D,13,**,D13,83
776,**,D,13,**,D13,5
777,**,D,13,**,D13,43
778,**,D,13,**,D13,66
779,**,D,13,**,D13,72
780,**,D,13,**,D13,66
781,**,D,13,**,D13,47
782,**,D,13,**,D13,12
783,**,D,13,**,D13,48
784,**,D,13,**,D13,56
785,**,D,13,**,D13,77
786,**,D,13,**,D13,91
787,**,D,13,**,D13,79
788,**,D,13,**,D13,9
789,**,D,13,**,D13,17
790,**,D,13,**,D13,56
791,**,D,13,**,D13,97
792,**,D,13,**,D13,97
793,**,D,13,**,D13,2
794,**,D,13,**,D13,89
795,**,D,13,**,D13,16
796,**,D,13,**,D13,11
797,**,D,13,**,D13,60
798,**,D,13,**,D13,83
799,**,D,13,**,D13,81
800,**,D,13,**,D13,59
801,**,D,13,**,D13,73
802,**,D,13,**,D13,34
803,**,D,13,**,D13,81
804,**,D,13,**,D13,68
805,**,D,13,**,D13,20
806,**,D,13,**,D13,91
807,**,D,13,**,D13,62
808,**,D,13,**,D13,72
809,**,D,13,**,D13,7
810,**,D,13,**,D13,21
811,**,D,13,**,D13,77
812,**,D,13,**,D13,97
813,**,D,13,**,D13,14
814,**,D,13,**,D13,23
815,**,D,13,**,D13,41
816,**,D,13,**,D13,7
817,**,D,13,**,D13,41
818,**,D,13,**,D13,39
819,**,D,13,**,D13,15
820,**,D,13,**,D13,30
821,**,D,13,**,D13,22
822,**,D,13,**,D13,11
823,**,D,13,**,D13,23
824,**,D,13,**,D13,24
825,**,D,13,**,D13,51
826,**,D,13,**,D13,63
827,**,D,13,**,D13,8
828,**,D,13,**,D13,74
829,**,D,13,**,D13,8
830,**,D,13,**,D13,13
831,**,D,13,**,D13,62
832,**,D,13,**,D13,35
833,**,D,13,**,D13,90
834,**,D,13,**,D13,22
835,**,D,13,**,D13,11
836,**,D,13,**,D13,77
837,**,D,13,**,D13,95
838,**,D,13,**,D13,57
839,**,D,13,**,D13,85
840,**,D,13,**,D13,82
841,**,D,13,**,D13,11
842,**,D,13,**,D13,74
843,**,D,13,**,D13,31
844,**,D,13,**,D13,50
845,**,D,13,**,D13,43
846,**,D,13,**,D13,71
847,**,D,13,**,D13,28
848,**,D,13,**,D13,3
849,**,D,13,**,D13,12
850,**,D,13,**,D13,9
851,**,D,13,**,D13,46
852,**,D,13,**,D13,10
853,**,D,13,**,D13,19
854,**,D,13,**,D13,72
855,**,D,13,**,D13,67
856,**,D,13,**,D13,18
857,**,D,13,**,D13,55
858,**,D,13,**,D13,39
859,**,D,13,**,D13,66
860,**,D,13,**,D13,26
861,**,D,13,**,D13,22
862,**,D,13,**,D13,78
863,**,D,13,**,D13,78
864,**,D,13,**,D13,67
865,**,D,13,**,D13,95
866,**,D,13,**,D13,30
867,**,D,13,**,D13,33
868,**,D,13,**,D13,33
869,**,D,13,**,D13,90
870,**,D,13,**,D13,66
871,**,D,13,**,D13,23
872,**,D,13,**,D13,69
873,**,D,13,**,D13,66
874,**,D,13,**,D13,99
875,**,D,13,**,D13,35
876,**,D,13,**,D13,6
877,**,D,13,**,D13,39
878,**,D,13,**,D13,9
879,**,D,13,**,D13,51
880,**,D,13,**,D13,59
881,**,D,13,**,D13,85
882,**,D,13,**,D13,5
883,**,D,13,**,D13,33
884,**,D,13,**,D13,58
885,**,D,13,**,D13,5
886,**,D,13,**,D13,17
887,**,D,13,**,D13,10
888,**,D,13,**,D13,20
889,**,D,13,**,D13,19
890,**,D,13,**,D13,90
891,**,D,13,**,D13,93
892,**,D,13,**,D13,23
893,**,D,13,**,D13,85
894,**,D,13,**,D13,17
895,**,D,13,**,D13,50
896,**,D,13,**,D13,2
897,**,D,13,**,D13,39
898,**,D,13,**,D13,94
899,**,D,13,**,D13,73
900,**,D,13,**,D13,67
901,**,D,13,**,D13,31
902,**,D,13,**,D13,80
903,**,D,13,**,D13,48
904,**,D,13,**,D13,64
905,**,D,13,**,D13,49
906,**,D,13,**,D13,64
907,**,D,13,**,D13,10
908,**,D,13,**,D13,91
909,**,D,13,**,D13,5
910,**,D,13,**,D13,36
911,**,D,13,**,D13,43
912,**,D,13,**,D13,5
913,**,D,13,**,D13,62
914,**,D,13,**,D13,24
915,**,D,13,**,D13,69
916,**,D,13,**,D13,52
917,**,D,13,**,D13,64
918,**,D,13,**,D13,58
919,**,D,13,**,D13,53
920,**,D,13,**,D13,70
921,**,D,13,**,D13,93
922,**,D,13,**,D13,5
923,**,D,13,**,D13,4
924,**,D,13,**,D13,52
925,**,D,13,**,D13,89
926,**,D,13,**,D13,56
927,**,D,13,**,D13,89
928,**,D,13,**,D13,87
929,**,D,13,**,D13,39
930,**,D,13,**,D13,62
931,**,D,13,**,D13,1
932,**,D,13,**,D13,5
933,**,D,13,**,D13,69
934,**,D,13,**,D13,48
935,**,D,13,**,D13,16
936,**,D,13,**,D13,44
937,**,D,13,**,D13,81
938,**,D,13,**,D13,55
939,**,D,13,**,D13,3
940,**,D,13,**,D13,68
941,**,D,13,**,D13,59
942,**,D,13,**,D13,93
943,**,D,13,**,D13,52
944,**,D,13,**,D13,51
945,**,D,13,**,D13,30
946,**,D,13,**,D13,47
947,**,D,13,**,D13,59
948,**,D,13,**,D13,30
949,**,D,13,**,D13,69
950,**,D,13,**,D13,2
951,**,D,13,**,D13,36
952,**,D,13,**,D13,38
953,**,D,13,**,D13,30
954,**,D,13,**,D13,25
955,**,D,13,**,D13,13
956,**,D,13,**,D13,41
957,**,D,13,**,D13,83
958,**,D,13,**,D13,2
959,**,D,13,**,D13,88
